id,chamber,Bill,billID,date,D Ayes,R Ayes,D Nays,R Nays,walz,kline,paulsen,mccollum,ellison,bachmann,peterson,cravaack,klobuchar,franken
1,house,Cut House salaries,HR 22,"January 6, 2011",177,231,13,0,Aye,Aye,Aye,Aye,Nay*,Aye,Aye,Aye,,
2,house,Affordable Care Act Repeal,HR 2 ,"January 19, 2011",3,242,189,0,Nay,Aye,Aye,Nay,Nay,Aye,Nay,Aye,,
3,house,Extend Patriot Act,HR 514,"February 17, 2011",68,211,117,26,Nay,Aye,Aye,Nay,Nay,Aye,Aye*,Aye,,
4,house,Short-term Budget,HJR 44,"March 1, 2011",104,231,85,6,Aye,Aye,Aye,Nay*,Nay*,Nay*,Aye,Aye,,
5,house,Defund National Public Radio,HR 1076,"March 17, 2011",0,228,185,7,Nay,Aye,Aye,Nay,Nay,Aye,Nay,Aye,,
6,house,Short-term Budget,HR 1363,"April 9, 2011",140,208,42,28,Aye,Aye,Aye,Aye,Nay*,Nay*,Aye,Aye,,
7,house,GOP 2012 Budget Resolution,HCR 34,"April 15, 2011",0,235,189,4,Nay,Aye,Aye,Nay,Nay,Aye,Nay,Aye,,
8,house,Final 2011 Budget,HR 1473,"April 14, 2011",81,179,108,59,Aye*,Aye,Aye,Aye*,Nay,Nay*,Aye*,Nay*,,
9,house,Boehner-proposed debt reduction bill,S 627,"July 29, 2011",0,218,188,22,Nay,Aye,Aye,Nay,Nay,Nay*,Nay,Nay*,,
10,house,Final Debt Deal,S 365,"August 1, 2011",95,174,95,66,Aye,Aye,Aye,Nay,Nay,Nay*,Aye,Nay*,,
11,house,Short-term budget,HR 2608,"October 4, 2011",170,182,13,53,Aye,Aye,Aye,Aye,Nay*,NV,Aye,Aye,,
12,house,Balanced Budget Amendment**,HJR 2,"November 18, 2011",25,236,161,4,Nay,Aye,Aye,Nay,Nay,Aye,Aye*,Aye,,
13,house,Payroll tax cut extension/Keystone Pipeline ,HR 3630,"December 13, 2011",10,224,179,14,Aye*,Aye,Aye,Nay,Nay,NV,Nay,Aye,,
14,house,Reject Senate Payroll Tax Plan,HR 3630,"December 20, 2011",0,229,186,7,Nay,Aye,Aye,Nay,Nay,NV,Nay,Aye,,
15,house,Final Payroll Tax Holiday bill,HR 3630,"February 17, 2012",147,146,41,91,Aye,Aye,Aye,Aye,Nay*,Nay*,Nay*,Aye,,
16,house,JOBS Act,HR 3606,"March 8, 2012",158,232,23,0,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,,
17,house,GOP 2013 Budget Resolution,HCR 112,"March 29, 2012",0,228,181,10,Nay,Aye,Aye,Nay,Nay,Aye,Nay,Aye,,
18,house,Eric Holder Contempt,HR 706/ HR 711,"June 28, 2012",17,238,65,2,Aye*,Aye,Aye,NV,NV,Aye,Aye*,Aye,,
19,house,Affordable Care Act Repeal,HR 6079,"July 11, 2012",5,239,185,0,Nay,Aye,Aye,Nay,Nay,Aye,Nay,Aye,,
20,house,Federal Reserve Audit,HR 459,"July 25, 2012",48,177,141,60,Nay,Aye,Aye,Nay,Nay,Aye,Aye*,Aye,,
35,house,Extend the Bush Tax Cuts,HR 8,"August 1, 2012",19,237,170,1,Aye*,Aye,Aye,Nay,Nay,Aye,Aye*,Aye,,
21,senate,Eliminate 1099 Tax Reporting,SAmdt 9,"February 2, 2011",34,47,17,0,,,,,,,,,Aye,Nay*
22,senate,Affordable Care Act Repeal,SAmdt 13,"February 2, 2011",0,47,51,0,,,,,,,,,Nay,Nay
23,senate,Short-term Budget,HJR 44,"March 2, 2011",49,42,4,5,,,,,,,,,Aye,Aye
24,senate,GOP 2011 Budget,HR 1,"March 9, 2011",0,44,53,3,,,,,,,,,Nay,Nay
25,senate,Democratic 2011 Budget,HR 1 Amdt,"March 9, 2011",42,0,11,47,,,,,,,,,Aye,Aye
26,senate,Final 2011 Budget,HR 1473,"April 14, 2011",49,32,4,15,,,,,,,,,Aye,Aye
27,senate,Ethanol Subsidy Repeal,SAmdt 436,"June 14, 2011",6,34,46,13,,,,,,,,,Nay,Nay
28,senate,Final Debt Deal,S 365,"August 2, 2011",46,28,7,19,,,,,,,,,Aye,Aye
29,senate,Table GOP short-term budget,HR 2608,"September 23, 2011",52,7,1,35,,,,,,,,,Aye,Aye
30,senate,Veterans Jobs bill,HR 674,"November 10, 2011",51,44,0,0,,,,,,,,,Aye,Aye
31,senate,Final Payroll Tax Holiday ,HR 3630,"February 17, 2012",46,14,6,30,,,,,,,,,Aye,Aye
32,senate,Block GOP birth control excemption,S 1813,"March 1, 2012",50,1,3,45,,,,,,,,,Aye,Aye
33,senate,Approving Keystone Pipeline,S 1813,"March 8, 2012",11,45,42,0,,,,,,,,,Nay,Nay
34,senate,"Eliminating Bush Tax Cuts for >$250,000",S 3412,"July 25, 2012",51,0,2,46,,,,,,,,,Aye,Aye
